Nombre Comercial,Modelo,Funciona,Bandas,Provincias,Observaciones
Motorola,XT2113-2,Sí,"2G, 4G",,
Motorola,XT2113-1,Sí,"2G, 3G, 4G",,
Motorola,XT2113-2,Sí,"2G, 3G, 4G",,
Motorola,XT2115-1,Sí,"2G, 3G",,
Motorola,XT2117-3,Sí,"2G, 4G",,
Motorola,XT2117-4,Sí,"2G, 3G, 4G",,
Motorola,XT2117-1,Sí,"2G, 3G, 4G",,
Motorola,XT2131-1,Sí,"2G, 3G, 4G",,
Motorola,XT2131-1,Sí,"2G, 3G, 4G",,
Motorola,XT2131-1,Sí,"2G, 3G, 4G",,
Motorola,XT2131-3,Sí,"2G, 3G, 4G",,
Motorola,XT2131-4,Sí,"2G, 3G, 4G",,
Motorola,XT2141-1,Sí,"2G, 3G, 4G",,
Motorola,XT2163DL,Sí,"2G, 3G, 4G",,
Motorola,XT2165-2,Sí,"2G, 3G",,
Motorola,XT2163-4,Sí,"2G, 3G, 4G",,
Motorola,XT2163-4,Sí,"2G, 3G, 4G",,
Motorola,XT2165-5,Sí,"2G, 3G, 4G",,
Motorola,XT2165DL,Sí,"2G, 3G, 4G",,
Motorola,MB886,Sí,2G,,
5029E,,Sí,"2G, 3G, 4G",,
5056N,,Sí,2G,,
5087Z,,Sí,2G,,
5007W,,Sí,2G,,
5007Z,,Sí,2G,,
5002R,,Sí,2G,,
5004R,,Sí,2G,,
5008R,,Sí,2G,,
5030A Aliv,,Sí,"2G, 3G, 4G",,
REVVL+ 5G,,Sí,"2G, 4G",,
REVVLRY+,,Sí,2G,,
REVVL 4+ Tmobile,,Sí,"2G, 4G",,
REVVL 4 Metro,,Sí,2G,,
Alcatel,TMRVL4G,Sí,2G,,
5024A,,Sí,2G,,
5041C,,Sí,2G,,
5054O,,Sí,2G,,
4052Z,,Sí,2G,,
5002C,,Sí,2G,,
5002B,,Sí,"2G, 3G, 4G",,
5033M,,Sí,"2G, 3G, 4G",,
9002X,TABLET,Sí,"2G, 3G",,
9015W,TABLET,Sí,2G,,
9032Z,TABLET,Sí,2G,,
Realme C11,RMX3231,Sí,"2G, 3G, 4G",,
One Plus 8T+ 5G,KB2007,Sí,"2G, 3G, 4G",,
Nord 10 5G MetroPcs,,Sí,"2G, 3G, 4G",,
Nord N200 5G MetroPcs,,Sí,"2G, 3G, 4G",,
LDN-LX2,,Sí,"2G, 3G, 4G",,
MAR-LX3A,,Sí,"2G, 3G, 4G",,
MAR-LX1A,,Sí,"2G, 3G, 4G",,
MED-LX9,,Sí,"2G, 3G, 4G",,
ELE-L04,,Sí,"2G, 3G, 4G",,
HMA-L09,,Sí,"2G, 3G, 4G",,
VTR-L09,,Sí,"2G, 3G, 4G",,
ATU-L21,,Sí,"2G, 3G, 4G",,
TAG-L21,,Sí,"2G, 3G, 4G",,
SNE-LX3,,Sí,"2G, 3G",,
ANE-LX3,,Sí,"2G, 3G",,
DUB-LX3,,Sí,"2G, 3G",,
